id,instrument
213,Guiro (South & Central American notched gourd that is scraped)
214,Guitar
215,Guitar 12 Strings
216,Guitarrón (Mexican large bass guitar)
217,Guqin (Chinese plucked zither)
218,Gusle/ gusla (Balkan guitar)
219,Gusli (Russian harp)
220,Guzheng (Chinese zither)
221,Hammered dulcimer
222,Handbells
223,Hang (steel hand drum)
224,Hardanger fiddle
225,Harmonica/ Mouth Organ
226,Harmonium/ reed organ
227,Harp
228,Harp guitar
229,Harpsichord
230,Heckelphone
231,Hegelong (Philippine fretted boat-lute)
232,Hélicon
233,Hichiriki (Japanese Oboe)
234,Hocchiku (Japanese flute)
235,Hooked harp
236,Horagai (Japanese conch)
237,Horn
238,Hosho (Zimbabwean rattle)
239,Hsaio (Chinese Duct Flute)
240,Huemmelchen (German smallpipes)
241,Huluhu (Chinese bowed stringed instrument)
242,Hun (Korean flute)
243,Hunting Horn
244,Huqin (Chinese bowed stringed instrument)
245,Hurdy Gurdy
246,Igil (Tuvan bowed instrument)
247,Inci (Philippine flute)
248,Ipu (Hawaiian rattle)
249,Irish bouzouki
250,Irish Uilleann (Indoor bagpipe)
251,Istarski mih (Croatian bagpipe)
252,Janggu (Korean drum)
253,Japanese Bamboo Flute/ Shakuhachi
254,Jew’s harp
255,Jew’s harp (plucked idiophone)
256,Jiaohu (Chinese bowed stringed instrument)
257,Jinghu (Chinese bowed stringed instrument)
258,Jug
259,Kadlong (Philippine fretted boat-lute)
260,Kagul (Philippine slit drum)
261,Kangling (Tibetan serunai)
262,Kaval (Slovakian Duct Flute)
263,Kèn b?u (Vietnamese reed)
264,Kettle drum/ Timpani
265,Keyed Bugle
266,Keyed Trumpet
267,Khene (Northeast Thailand mouth organ)
268,Khim (Cambodian/ Thai hammered dulcimer)
269,Khloy (Cambodian flute)
270,Khol (South Indian drum)
271,Kissar (West African lyre)
272,Knatele (Finnish zither)
273,Kokyu (Japanese bowed instrument)
274,Komungo (Korean zither)
275,Kora (West African 21-string harp-lute)
276,Koto (Japanese zither)
